Room ID,Room Number,Capacity,Room Type
C101,101,70,LECTURE_ROOM
C102,102,70,LECTURE_ROOM
C104,104,70,LECTURE_ROOM
L105,105,35,LAB_ROOM
L106,106,35,LAB_ROOM
L107,107,35,LAB_ROOM
L108,108,35,LAB_ROOM
C201,201,70,LECTURE_ROOM
C202,202,70,LECTURE_ROOM
C203,203,70,LECTURE_ROOM
C204,204,70,LECTURE_ROOM
L205,205,35,LAB_ROOM
L206,206,35,LAB_ROOM
L207,207,35,LAB_ROOM
L208,208,35,LAB_ROOM
C301,301,70,LECTURE_ROOM
C302,303,70,LECTURE_ROOM
C303,303,70,LECTURE_ROOM
C304,304,70,LECTURE_ROOM
L305,305,35,LAB_ROOM
L306,306,35,LAB_ROOM
L307,307,35,LAB_ROOM
L308,308,35,LAB_ROOM
C004,004,240,LECTURE_ROOM
C002,002,120,LECTURE_ROOM
C003,003,120,LECTURE_ROOM
